evTimes	evNumSegs	evMags	evAreas	evSlips	evYearPred1	aveLastEvTime1	evYearPred2	aveLastEvTime2
143	2	6.734517	3.14577984E8	1.5028851	145.19233466633605	44.99999364227632	133.5646879226562	44.99999364227632
144	1	6.746207	1.34588E8	3.65749	154.91633333333334	33.0	136.527	33.0
149	1	6.4744167	1.57276E8	1.22417	158.61133333333336	77.0	161.61066666666665	77.0
151	1	6.4299755	1.57288992E8	1.04989	138.99266666666662	69.0	145.192	69.0
151	2	6.528172	2.84888992E8	0.81369376	NaN	NaN	NaN	NaN
154	2	6.8392334	3.06758016E8	2.2127547	146.19811340698533	54.0	170.3058392581992	54.0
157	1	6.5172005	1.2936E8	1.72536	NaN	NaN	NaN	NaN
158	2	6.8922153	2.97051008E8	2.7439156	NaN	NaN	NaN	NaN
158	1	6.699982	1.66846E8	2.51499	NaN	NaN	NaN	NaN
158	6	7.231687	9.3201101E8	2.8248022	166.47428800911862	48.77419794401568	196.9075622341546	48.77419794401568
161	2	6.668998	2.55546E8	1.4753891	166.01556299218146	107.0	165.44618507196353	107.0
163	1	6.466976	1.26294E8	1.4858	149.90833333333333	88.0	161.0625	88.0
166	3	6.830882	4.15828E8	1.5859461	NaN	NaN	NaN	NaN
179	4	6.951173	6.2914298E8	1.5881389	189.62550930392612	83.74958157366449	189.5179557027046	83.74958157366449
179	1	6.1670856	1.50656E8	0.4421	NaN	NaN	NaN	NaN
182	1	6.47603	1.26292E8	1.53302	151.87583333333333	88.0	177.15166666666667	88.0
183	1	6.4824133	1.56712E8	1.26298	NaN	NaN	NaN	NaN
185	3	6.91928	4.45086016E8	2.0107343	NaN	NaN	NaN	NaN
185	1	6.6578083	1.26049E8	2.87774	181.90583333333333	62.0	179.64625	62.0
185	1	6.7001305	1.83678E8	2.28569	NaN	NaN	NaN	NaN
185	3	7.0830736	4.64783008E8	3.3903043	NaN	NaN	NaN	NaN
186	1	6.7667756	1.43268992E8	3.68884	184.96133333333333	62.0	179.6723333333333	62.0
192	1	6.5284758	1.26677E8	1.83187	205.6558333333333	53.0	167.6591666666667	53.0
196	1	6.69552	1.76123008E8	2.34608	NaN	NaN	NaN	NaN
197	13	7.4961467	1.85312397E9	3.5415566	NaN	NaN	NaN	NaN
197	2	7.011566	2.93388E8	4.19552	NaN	NaN	NaN	NaN
197	1	6.6862755	1.54932992E8	2.58314	NaN	NaN	NaN	NaN
202	1	6.2906804	1.46952E8	0.694583	NaN	NaN	NaN	NaN
