evTimes	evNumElems	evMags	evAreas	evSlips	evYearPred1	aveLastEvTime1	evYearPred2	aveLastEvTime2
2	6	5.51701	3.203856E8	0.022019176	NaN	NaN	NaN	NaN
2	16	6.66059	6.8352301E8	0.53593075	NaN	NaN	NaN	NaN
2	1	5.52361	4.2721572E7	0.16894041	NaN	NaN	NaN	NaN
5	1	5.57312	4.2719952E7	0.2004499	NaN	NaN	NaN	NaN
5	13	6.63268	5.5537453E8	0.59898263	NaN	NaN	NaN	NaN
7	1	6.00672	5.339778E7	0.7169998	NaN	NaN	NaN	NaN
7	5	6.40145	2.67010288E8	0.5605533	NaN	NaN	NaN	NaN
8	2	5.5221	8.5438672E7	0.08403412	NaN	NaN	NaN	NaN
12	2	5.52504	8.5439632E7	0.08489199	NaN	NaN	NaN	NaN
14	2	5.81332	1.28138656E8	0.15320353	NaN	NaN	NaN	NaN
14	2	5.57313	1.2816684E8	0.06681523	NaN	NaN	NaN	NaN
16	1	5.77454	6.4071272E7	0.26798224	NaN	NaN	NaN	NaN
17	11	6.20464	4.69918272E8	0.16140139	NaN	NaN	NaN	NaN
19	1	5.7497	5.3410712E7	0.295044	NaN	NaN	NaN	NaN
24	1	5.7899	5.339496E7	0.33908787	NaN	NaN	NaN	NaN
25	2	5.55567	8.5438672E7	0.09436364	19.7754	17.0	21.747099	17.0
25	3	5.65104	1.28164544E8	0.087448314	NaN	NaN	NaN	NaN
27	1	5.826	4.2719808E7	0.4801071	NaN	NaN	NaN	NaN
27	3	5.63095	1.60202224E8	0.06527082	NaN	NaN	NaN	NaN
30	1	5.75565	4.2709104E7	0.37664038	NaN	NaN	NaN	NaN
30	5	6.39422	2.1359928E8	0.6834377	NaN	NaN	NaN	NaN
32	2	5.51307	8.544272E7	0.081450276	NaN	NaN	NaN	NaN
32	1	5.6088	5.3397872E7	0.18140224	NaN	NaN	NaN	NaN
33	2	5.55335	8.5438784E7	0.0936124	23.753275	20.99997	24.761227	20.99997
36	1	5.85341	6.4079136E7	0.3518605	NaN	NaN	NaN	NaN
37	2	5.51096	8.5443024E7	0.080858484	30.390566	25.0	30.829887	25.0
39	2	6.18145	8.544272E7	0.81934226	NaN	NaN	NaN	NaN
39	1	5.71766	4.2721728E7	0.3302172	NaN	NaN	NaN	NaN
40	1	5.50247	4.2721404E7	0.15704454	NaN	NaN	NaN	NaN
41	12	6.30996	5.12644704E8	0.21286342	NaN	NaN	NaN	NaN
41	2	5.67728	8.545012E7	0.14360726	NaN	NaN	NaN	NaN
46	2	5.74768	9.2560088E7	0.16906804	NaN	NaN	NaN	NaN
48	2	6.00725	8.5443096E7	0.44891357	NaN	NaN	NaN	NaN
49	1	5.54892	8.1880808E7	0.09619641	NaN	NaN	NaN	NaN
49	3	6.08445	2.45643456E8	0.2038635	NaN	NaN	NaN	NaN
49	2	5.59472	2.70566848E8	0.034100767	NaN	NaN	NaN	NaN
49	5	6.23929	2.13610528E8	0.4002097	NaN	NaN	NaN	NaN
50	4	5.93148	1.70877536E8	0.17278223	46.08183	41.0	47.26069	41.0
50	1	5.71927	6.4080324E7	0.22138216	NaN	NaN	NaN	NaN
50	1	5.53259	4.2720168E7	0.1742664	NaN	NaN	NaN	NaN
50	31	7.18554	1.3243753E9	1.6954451	NaN	NaN	NaN	NaN
50	1	5.74573	4.2721164E7	0.36384612	NaN	NaN	NaN	NaN
50	1	5.8499	4.2721092E7	0.5214073	NaN	NaN	NaN	NaN
53	3	6.12752	1.60200128E8	0.36273694	NaN	NaN	NaN	NaN
58	2	5.65425	9.9675392E7	0.11369821	NaN	NaN	NaN	NaN
58	9	6.6954	6.4080429E8	0.644694	NaN	NaN	NaN	NaN
58	2	5.5392	1.42397216E8	0.053488918	NaN	NaN	NaN	NaN
60	1	5.53905	4.6287892E7	0.16446367	NaN	NaN	NaN	NaN
60	2	5.59116	1.06798848E8	0.08533622	NaN	NaN	NaN	NaN
62	1	5.55647	4.2717684E7	0.18925838	NaN	NaN	NaN	NaN
62	1	5.58227	4.6279792E7	0.1909722	NaN	NaN	NaN	NaN
