index	lat	lon	depth	relProb	randProbs	vol	blockDist
0	35.0	-120.0	12.0	3.503072E-7	3.3E-7	607.8820539132757	185.24089710721972
1	35.0	-119.95	12.0	3.707234E-7	2.2E-7	607.8820539132757	181.64869105586496
2	35.0	-119.9	12.0	3.9248724E-7	3.3E-7	607.8820539132757	178.09906391786865
3	35.0	-119.85	12.0	4.1567904E-7	3.8E-7	607.8820539132757	174.5946126872864
4	35.0	-119.8	12.0	4.403797E-7	4.9E-7	607.8820539132757	171.13811263221444
5	35.0	-119.75	12.0	4.6666963E-7	5.2E-7	607.8820539132757	167.73252819921353
6	35.0	-119.7	12.0	4.94627E-7	5.1E-7	607.8820539132757	164.38102397105914
7	35.0	-119.65	12.0	5.243259E-7	4.7E-7	607.8820539132757	161.086975489449
8	35.0	-119.6	12.0	5.558339E-7	6.3E-7	607.8820539135852	157.85397970210556
9	35.0	-119.55	12.0	5.8920904E-7	5.5E-7	607.8820539135852	154.6858647328132
10	35.0	-119.5	12.0	6.2449635E-7	5.1E-7	607.8820539132757	151.58669860305721
11	35.0	-119.45	12.0	6.6172385E-7	7.5E-7	607.8820539132757	148.56079645552694
12	35.0	-119.4	12.0	7.008974E-7	6.9E-7	607.8820539132757	145.61272574372543
13	35.0	-119.35	12.0	7.419956E-7	6.9E-7	607.8820539132757	142.7473087607076
14	35.0	-119.3	12.0	7.849638E-7	7.7E-7	607.8820539132757	139.96962178709583
15	35.0	-119.25	12.0	8.2970723E-7	8.4E-7	607.8820539132757	137.28499004957172
16	35.0	-119.2	12.0	8.7608447E-7	9.3E-7	607.8820539132757	134.69897760372888
17	35.0	-119.15	12.0	9.239004E-7	1.07E-6	607.8820539132757	132.21737119969973
18	35.0	-119.1	12.0	9.728998E-7	1.06E-6	607.8820539132757	129.84615716808375
19	35.0	-119.05	12.0	1.0227616E-6	1.07E-6	607.8820539132757	127.5914903924593
20	35.0	-119.0	12.0	1.0730943E-6	1.05E-6	607.8820539132757	125.45965452969276
21	35.0	-118.95	12.0	1.1234341E-6	1.05E-6	607.8820539132757	123.45701281717925
22	35.0	-118.9	12.0	1.1732459E-6	1.18E-6	607.8820539132757	121.58994908158714
23	35.0	-118.85	12.0	1.221927E-6	1.07E-6	607.8820539132757	119.86479894645898
24	35.0	-118.8	12.0	1.2688163E-6	1.28E-6	607.8820539132757	118.2877717271647
25	35.0	-118.75	12.0	1.3132072E-6	1.27E-6	607.8820539132757	116.86486408998687
26	35.0	-118.7	12.0	1.3543666E-6	1.41E-6	607.8820539132757	115.60176721077785
27	35.0	-118.65	12.0	1.3915572E-6	1.42E-6	607.8820539135852	114.50376985335078
28	35.0	-118.6	12.0	1.4240643E-6	1.47E-6	607.8820539135852	113.57566043785027
29	35.0	-118.55	12.0	1.4512249E-6	1.46E-6	607.8820539135852	112.82163171151664
30	35.0	-118.5	12.0	1.4724569E-6	1.34E-6	607.8820539135852	112.24519199099271
31	35.0	-118.45	12.0	1.4872876E-6	1.6E-6	607.8820539135852	111.8490870460328
32	35.0	-118.4	12.0	1.4953775E-6	1.4E-6	607.8820539135852	111.63523648856449
33	35.0	-118.35	12.0	1.4967421E-6	1.72E-6	607.8820539132757	111.59931648366594
34	35.0	-118.3	12.0	1.4961466E-6	1.59E-6	607.8820539132757	111.61498641830465
35	35.0	-118.25	12.0	1.4956706E-6	1.73E-6	607.8820539132757	111.62751646751904
36	35.0	-118.2	12.0	1.4952703E-6	1.57E-6	607.8820539132757	111.63806067008355
37	35.0	-118.15	12.0	1.4949504E-6	1.42E-6	607.8820539132757	111.64648673424074
38	35.0	-118.1	12.0	1.4947449E-6	1.45E-6	607.8820539132757	111.6519052684991
39	35.0	-118.05	12.0	1.4945808E-6	1.54E-6	607.8820539132757	111.65622727195031
40	35.0	-118.0	12.0	1.4945697E-6	1.41E-6	607.8820539132757	111.65652014252872
41	35.0	-117.95	12.0	1.4945806E-6	1.34E-6	607.8820539132757	111.65623294255681
42	35.0	-117.9	12.0	1.4947449E-6	1.59E-6	607.8820539132757	111.65190381480721
43	35.0	-117.85	12.0	1.4949503E-6	1.33E-6	607.8820539132757	111.64649094247552
44	35.0	-117.8	12.0	1.4952705E-6	1.38E-6	607.8820539132757	111.63805775331227
45	35.0	-117.75	12.0	1.4956705E-6	1.5E-6	607.8820539132757	111.62751921353937
46	35.0	-117.7	12.0	1.4961468E-6	1.49E-6	607.8820539132757	111.6149820379808
47	35.0	-117.65	12.0	1.4967421E-6	1.49E-6	607.8820539132757	111.59931776739795
48	35.0	-117.6	12.0	1.4953793E-6	1.38E-6	607.8820539135852	111.63519224575369
49	35.0	-117.55	12.0	1.4872915E-6	1.5E-6	607.8820539135852	111.84898466686883
50	35.0	-117.5	12.0	1.4724628E-6	1.35E-6	607.8820539135852	112.24503195771159
51	35.0	-117.45	12.0	1.4512327E-6	1.42E-6	607.8820539135852	112.82141477698768
52	35.0	-117.4	12.0	1.424074E-6	1.35E-6	607.8820539135852	113.57538760792173
53	35.0	-117.35	12.0	1.3915685E-6	1.41E-6	607.8820539135852	114.50344236403282
