regionName,a,asigma,logc,logc_sigma,p,p_sigma,alpha,b,covap,covac,covcp,Nms
ANSR-ABSLDEC,-2.2,0.31,-2.23,0.75,1.04,0.17,1,1,1.42E-04,2.13E-03,3.08E-03,40
ANSR-ABSLOCB,-2.52,0.34,-1.01,0.56,1.07,0.26,1,1,1.36E-03,5.47E-03,4.61E-03,78
ANSR-ABSLSHC,-2.66,0.47,-3.35,0.94,0.95,0.14,1,1,2.38E-04,5.83E-03,6.29E-03,18
ANSR-DEEPCON,-2.23,0.32,-2.06,1,1.08,0.17,1,1,1.44E-04,1.61E-03,2.02E-03,86
ANSR-HOTSPOT,-3.14,0.57,-4.04,1.21,1.11,0.4,1,1,-2.26E-02,-2.72E-02,8.82E-02,8
ANSR-OCEANBD ,-2.95,0.41,-2.34,2.75,1.02,0.4,1,1,1.08E-04,1.82E-03,2.43E-03,452
ANSR-SHALCON,-2.46,0.3,-2.76,1.31,0.96,0.16,1,1,1.93E-04,4.03E-03,5.05E-03,41
SCR-GENERIC,-2.36,0.71,-1.27,0.83,1.04,0.22,1,1,4.65E-03,2.42E-02,2.19E-02,10
SOR-GENERIC,-3.3,0.34,-3.87,1,1.14,0.3,1,1,-2.02E-03,4.66E-03,2.27E-02,13
SZ-GENERIC,-2.27,0.29,-2.47,0.62,0.98,0.12,1,1,4.60E-06,6.14E-05,7.72E-05,934
SZ-INLBACK ,-2.47,0.39,-3.43,0.7,0.97,0.12,1,1,2.07E-05,1.43E-03,2.85E-03,29
SZ-ONSHORE ,-2.28,0.37,-2.73,0.58,0.93,0.1,1,1,1.81E-05,2.29E-04,2.50E-04,225
SZ-OUTERTR ,-2.3,0.39,-2.62,0.57,1.02,0.11,1,1,1.33E-05,2.59E-04,3.64E-04,165
GLOBAL-AVERAGE,-2.423,0.395,-2.565,0.03,0.966,0.003,1,1,2.63E-06,3.75E-05,4.50E-05,2099
