regionName,a,asig,logc,p,covaa,covpp,covcc,covap,covac,covcp,Nms,alpha,b
ANSR-ABSLDEC,-2.2,0.307,-2.231,1.04,5.91E-04,6.84E-04,3.38E-02,1.42E-04,2.13E-03,3.08E-03,40,1,1
ANSR-ABSLOCB,-2.52,0.341,-1.006,1.072,1.75E-03,1.48E-03,2.15E-02,1.36E-03,5.47E-03,4.61E-03,78,1,1
ANSR-ABSLSHC,-2.652,0.467,-3.3,0.953,1.17E-03,1.00E-03,4.97E-01,2.38E-04,5.83E-03,6.29E-03,18,1,1
ANSR-DEEPCON,-2.23,0.319,-2.059,1.078,2.77E-04,3.51E-04,2.11E-02,1.44E-04,1.61E-03,2.02E-03,86,1,1
ANSR-HOTSPOT,-3.143,0.572,-4.036,1.108,5.24E-02,2.83E-02,3.05E+00,-2.26E-02,-2.72E-02,8.82E-02,8,1,1
ANSR-OCEANBD,-2.959,0.417,-2.569,1.006,3.05E-04,3.48E-04,3.80E-02,1.08E-04,1.82E-03,2.43E-03,452,1,1
ANSR-SHALCON,-2.463,0.302,-2.762,0.96,6.95E-04,6.28E-04,1.29E-01,1.93E-04,4.03E-03,5.05E-03,41,1,1
SCR-GENERIC,-2.364,0.71,-1.27,1.042,6.19E-03,5.65E-03,1.35E-01,4.65E-03,2.42E-02,2.19E-02,10,1,1
SOR-GENERIC,-3.302,0.337,-3.868,1.136,8.94E-03,6.82E-03,1.04E+00,-2.02E-03,4.66E-03,2.27E-02,13,1,1
SZ-GENERIC,-2.268,0.292,-2.47,0.981,1.29E-05,1.48E-05,1.29E-03,4.60E-06,6.14E-05,7.72E-05,934,1,1
SZ-INLBACK,-2.47,0.387,-3.434,0.975,5.85E-04,4.81E-04,7.60E-02,2.07E-05,1.43E-03,2.85E-03,29,1,1
SZ-ONSHORE,-2.282,0.371,-2.73,0.931,4.00E-05,4.25E-05,6.85E-03,1.81E-05,2.29E-04,2.50E-04,225,1,1
SZ-OUTERTR,-2.298,0.386,-2.624,1.017,5.91E-05,6.76E-05,6.26E-03,1.33E-05,2.59E-04,3.64E-04,165,1,1
