regionName,a,asig,logc,p,covaa,covpp,covcc,covap,covac,covcp,Nms,alpha,b
ANSR-ABSLDEC,-2.2,0.307,-2.231,1.04,0.0005910,0.0006840,0.0338000,0.0001420,0.0021300,0.0030800,40,1,1
ANSR-ABSLOCB,-2.52,0.341,-1.006,1.072,0.0017500,0.0014800,0.0215000,0.0013600,0.0054700,0.0046100,78,1,1
ANSR-ABSLSHC,-2.652,0.467,-3.3,0.953,0.0011700,0.0010000,0.4970000,0.0002380,0.0058300,0.0062900,18,1,1
ANSR-DEEPCON,-2.23,0.319,-2.059,1.078,0.0002770,0.0003510,0.0211000,0.0001440,0.0016100,0.0020200,86,1,1
ANSR-HOTSPOT,-3.143,0.572,-4.036,1.108,0.0524000,0.0283000,3.0500000,-0.0226000,-0.0272000,0.0882000,8,1,1
ANSR-OCEANBD,-2.959,0.417,-2.569,1.006,0.0003050,0.0003480,0.0380000,0.0001080,0.0018200,0.0024300,452,1,1
ANSR-SHALCON,-2.463,0.302,-2.762,0.96,0.0006950,0.0006280,0.1290000,0.0001930,0.0040300,0.0050500,41,1,1
SCR-GENERIC,-2.364,0.71,-1.27,1.042,0.0061900,0.0056500,0.1350000,0.0046500,0.0242000,0.0219000,10,1,1
SOR-GENERIC,-3.302,0.337,-3.868,1.136,0.0089400,0.0068200,1.0400000,-0.0020200,0.0046600,0.0227000,13,1,1
SZ-GENERIC,-2.268,0.292,-2.47,0.981,0.0000129,0.0000148,0.0012900,0.0000046,0.0000614,0.0000772,934,1,1
SZ-INLBACK,-2.47,0.387,-3.434,0.975,0.0005850,0.0004810,0.0760000,0.0000207,0.0014300,0.0028500,29,1,1
SZ-ONSHORE,-2.282,0.371,-2.73,0.931,0.0000400,0.0000425,0.0068500,0.0000181,0.0002290,0.0002500,225,1,1
SZ-OUTERTR,-2.298,0.386,-2.624,1.017,0.0000591,0.0000676,0.0062600,0.0000133,0.0002590,0.0003640,165,1,1
