regionName,aValue_MaxLike,pValue_MaxLike,aValue_Mean,aValue_Sigma,aValue_Sigma1,aValue_Sigma0,bValue,cValue
ANSR-ABSLDEC,-2.2,1.04,-2.2,0.31,0,0,1,0.005888437
ANSR-ABSLOCB,-2.52,1.07,-2.52,0.34,0,0,1,0.097723722
ANSR-ABSLSHC,-2.66,0.95,-2.66,0.47,0,0,1,0.000446684
ANSR-DEEPCON,-2.23,1.08,-2.23,0.32,0,0,1,0.008709636
ANSR-HOTSPOT,-3.14,1.11,-3.14,0.57,0,0,1,9.12011E-05
ANSR-OCEANBD ,-2.95,1.02,-2.95,0.41,0,0,1,0.004570882
ANSR-SHALCON,-2.46,0.96,-2.46,0.3,0,0,1,0.001737801
SCR-GENERIC,-2.36,1.04,-2.36,0.71,0,0,1,0.05370318
SOR-GENERIC,-3.3,1.14,-3.3,0.34,0,0,1,0.000134896
SZ-GENERIC,-2.27,0.98,-2.27,0.29,0,0,1,0.003388442
SZ-INLBACK ,-2.47,0.97,-2.47,0.39,0,0,1,0.000371535
SZ-ONSHORE ,-2.28,0.93,-2.28,0.37,0,0,1,0.001862087
SZ-OUTERTR ,-2.3,1.02,-2.3,0.39,0,0,1,0.002398833
