1	0.000870	0.008197	0.001139	0.000723
1	0.000883	0.003122	0.001871	0.000557
5	0.000738	0.007921	0.000826	0.000606
6	0.000795	0.008671	0.000982	0.000674
6	0.000859	0.006316	0.001151	0.000695
10	0.000580	0.004644	0.000815	0.000494
15	0.000619	0.005869	0.000706	0.000500
18	0.000716	0.007407	0.000810	0.000584
19	0.000826	0.010135	0.000991	0.000713
20	0.001154	0.011635	0.001481	0.001000
21	0.000519	0.005725	0.000610	0.000438
26	0.000795	0.014870	0.000887	0.000726
29	0.000825	0.010127	0.000986	0.000709
31	0.000900	0.011204	0.001040	0.000787
31	0.001158	0.007435	0.001704	0.000912
32	0.000474	0.001465	0.000902	0.000273
