0	30	-93	7
1	30	-93	7
2	30	-93	7
3	30	-93	7
4	30	-93	7
5	30	-93	7
6	30	-93	3.5
7	30	-93	3.5
8	30	-93	3.5
9	30	-93	3.5
10	30	-93	3.5
11	30	-93	3.5
12	30	-86	6
13	30	-86	6
14	30	-86	6
15	33	-72	7
16	35	-59	8
17	35	-59	8
18	36	-73	8.2
19	37	-87	8.5
20	37	-87	8.5
21	38	-87	7.6
22	40	-87	6.5
23	40	-87	6.5
24	46	-83	9.8
25	50	-81	12
26	50	-81	12
27	50	-81	12
28	50	-84	12.8
29	50	-86	13.5
30	50	-86	13.5
31	30	-86	6
32	30	-86	6
33	32	-77	6.7
34	33	-68	7.4
35	35	-59	8
36	36	-68	8.2
37	36	-78	8.3
38	37	-87	8.5
39	38	-87	8
40	39	-87	7.3
41	40	-87	6.5
42	44	-84	8.9
43	48	-82	10.7
44	50	-81	12
45	50	-81	12
46	50	-83	12.5
47	50	-84	13
48	50	-86	13.5
49	30	-86	6
50	31	-79	6.5
51	33	-72	7
52	34	-65	7.5
53	35	-66	8.1
54	36	-73	8.2
55	36	-80	8.4
56	38	-87	8.1
57	38	-87	7.6
58	39	-87	7.1
59	43	-85	8.4
60	46	-83	9.8
61	48	-82	11
62	50	-81	12
63	50	-82	12.4
64	50	-84	12.8
65	50	-85	13.2
66	31	-80	6.4
67	32	-75	6.8
68	33	-69	7.2
69	34	-70	7.7
70	36	-70	8.2
71	36	-76	8.3
72	37	-81	8.1
73	38	-87	7.8
74	39	-87	7.4
75	42	-85	8.4
76	45	-84	9.3
77	47	-83	10.3
78	49	-82	11.2
79	50	-82	12.3
80	50	-83	12.6
81	50	-84	12.9
82	32	-77	6.7
83	33	-72	7
84	34	-72	7.5
85	35	-73	7.9
86	36	-73	8.2
87	37	-77	8.1
88	37	-82	7.9
89	38	-87	7.6
90	41	-86	8.4
91	44	-85	9.1
92	46	-83	9.8
93	48	-82	10.7
94	49	-83	11.7
95	50	-83	12.5
96	50	-84	12.8
97	32	-74	6.9
98	33	-74	7.3
99	34	-74	7.6
100	35	-75	7.9
101	36	-74	8.1
102	37	-78	7.9
103	38	-82	7.7
104	40	-86	8.4
105	43	-85	9
106	45	-84	9.6
107	47	-83	10.2
