AccentCity,Population,Latitude,Longitude
Andorra la Vella,20430,42.5,1.5166667
Canillo,3292,42.5666667,1.6
Encamp,11224,42.5333333,1.5833333
La Massana,7211,42.55,1.5166667
Les Escaldes,15854,42.5,1.5333333
Ordino,2553,42.55,1.5333333
Sant Julia de Loria,8020,42.4666667,1.5
Abu Dhabi,603687,24.466667,54.366667
Dubai,1137376,25.258172,55.304717
Sharjah,543942,25.35731,55.403304
Acin,15098,34.082481,70.668152
Anar Darreh,10023,32.758698,61.653969
Andarab,27034,35.633484,69.260195
Asadabad,48400,34.873113,71.14697
Asmar,15708,35.033328,71.358087
Aybak,47877,36.26468,68.015512
Azrow,12526,34.173553,69.645728
Baglan,108481,36.130684,68.708286
Bagrami,30256,34.493761,69.274274
Baraki Barak,22305,33.9675,68.948611
Cah Ab,23424,37.397734,69.814644
Carikar,53693,35.016585,69.174011
Ciras,12778,35.416737,65.982341
Dawlatabad,13603,36.432589,64.920713
Dawlatabad,17674,36.98782,66.82066
Deh Rawud,25683,32.624131,65.459659
Eskasem,12120,36.706932,71.570658
Farah,43574,32.374508,62.116383
Gardan Diwal,6815,34.508977,68.260739
Gardez,103732,33.597439,69.225922
Gazni,143049,33.550833,68.4225
Geresk,43638,31.820894,64.570048
Herat,272880,34.348167,62.199673
Jalalabad,200389,34.426468,70.45153
Jurm,12121,36.864768,70.834207
Kabul,3043589,34.516667,69.183333
Kholm,64954,36.697362,67.698255
Khowst,96246,33.339512,69.92041
Kuhestan,12087,34.653889,61.197778
Kusk,16952,33.29565,61.952206
Lar Gerd,11635,35.489361,66.664088
Mehtar Lam,17350,34.671389,70.209444
Mirabad,14160,30.436244,61.838304
Nahrin,22389,36.064904,69.13343
Nuristan,17072,34.95,70.4
Orgun,10665,32.901111,69.152798
Pagman,49173,34.5875,68.953333
Panjab,13471,34.387949,67.023273
Qandahar,391230,31.613323,65.710126
Qarchi Gak,8942,37.039988,66.788912
Qarqin,15023,37.404464,66.074375
Qunduz,161943,36.728955,68.857001
Rostaq,25644,37.126035,69.83045
Rudbar,11034,30.15,62.6
Sahrak,15967,34.107375,64.305199
Sangin,13579,32.072752,64.835903
Sar-e Pul,52138,36.215443,65.932487
