AccentCity,Population,Latitude,Longitude
Sharan,7368,33.146667,68.791667
Shibarghan,55658,36.667567,65.752904
Sindand,29273,33.302944,62.1474
Tagab,6400,34.855007,69.64917
Taloqan,64275,36.734133,69.533559
Taywarah,14398,33.521176,64.421156
Tir Pol,6979,34.594307,61.268951
Tokzar,12021,35.948308,66.42132
Uruzgan,13400,32.927751,66.632534
Zaranj,33894,30.966667,61.883333
All Saints,2526,17.05,-61.8
Carlisle,831,17.1333333,-61.8
Codrington,682,17.6333333,-61.8333333
Freetown,623,17.05,-61.7
Liberta,1668,17.0333333,-61.7833333
Old Road,623,17.0166667,-61.8333333
Parham,969,17.0833333,-61.7666667
Swetes,727,17.05,-61.8
The Valley,1379,18.2166667,-63.05
Bajram Curri,7967,42.3572222,20.0730556
Ballsh,10361,40.5988889,19.7347222
Berat,47606,40.7058333,19.9522222
Bilisht,7114,40.6275,20.99
Bulqize,11212,41.4916667,20.2219444
Burrel,15539,41.6102778,20.0088889
Cerrik,14269,41.0316667,19.9758333
Corovode,14046,40.5041667,20.2272222
Delvine,3916,39.9511111,20.0977778
Durres,122034,41.3230556,19.4413889
Elbasan,100903,41.1125,20.0822222
Erseke,7890,40.3377778,20.6788889
Fier,59719,40.7238889,19.5561111
Fierze,742,42.2647222,20.0269444
Fierze,742,42.2605556,20.0169444
Fushe-Arrez,2438,42.0622222,20.0166667
Fushe-Kruje,10458,41.4783333,19.7177778
Gjirokaster,23437,40.0758333,20.1388889
Gramsh,11556,40.8697222,20.1844444
Himare,4596,40.1016667,19.7447222
Kamze,11026,41.3816667,19.7602778
Kavaje,29354,41.1855556,19.5569444
Kelcyre,2486,40.3130556,20.1894444
Kerrabe,1177,41.2155556,19.9713889
Klos,683,41.4844444,20.1080556
Konispol,1349,39.6588889,20.1813889
Koplik,4078,42.2136111,19.4363889
Korce,58259,40.6186111,20.7808333
Kraste,1168,41.4225,20.205
Kruje,21286,41.5091667,19.7927778
Kucove,18166,40.8002778,19.9166667
Kukes,17972,42.0769444,20.4219444
Kurbnesh,1429,41.7797222,20.0836111
Lac,24825,41.6355556,19.7130556
Leskovik,2655,40.1513889,20.5972222
Lezhe,18695,41.7836111,19.6436111
Libohove,3651,40.0311111,20.2630556
Librazhd,12691,41.1794444,20.315
Lushnje,41423,40.9419444,19.705
Maliq,3735,40.7058333,20.6997222
Mamurras,8282,41.5775,19.6922222
Memaliaj,4951,40.3458333,19.9791667
Milot,2157,41.6802778,19.7244444
Orikum,2604,40.3252778,19.4713889
Patos,22679,40.6833333,19.6194444
Peqin,7513,41.0461111,19.7511111
Permet,10686,40.2336111,20.3516667
Perrenjas,4015,41.0730556,20.5488889
Peshkopi,15261,41.685,20.4288889
Pogradec,25758,40.9025,20.6525
Polican,10663,40.6122222,20.0980556
Puke,6495,42.0444444,19.8997222
Roskovec,6657,40.7375,19.7022222
Rreshen,10064,41.7675,19.8755556
Rrogozhine,5620,41.0763889,19.6652778
Rubik,2332,41.7744444,19.7861111
Sarande,15147,39.8755556,20.0052778
Selenice,6912,40.5305556,19.6358333
Shengjin,2698,41.8136111,19.5938889
Shijak,14138,41.3455556,19.5672222
Shkoder,89102,42.0675,19.5130556
Tepelene,11955,40.2958333,20.0191667
Tirana,374801,41.3275,19.8188889
Ulze,600,41.6827778,19.8933333
Vlore,89528,40.4666667,19.4897222
Vore,4973,41.3908333,19.655
Abovyan,1379,40.0488889,44.5475
Abovyan,35677,40.2691667,44.6244444
Agarakadzor,1195,39.7363889,45.3455556
Agarak,1575,40.3077778,44.2847222
Agarak,1278,41.0105556,44.4675
Agarak,4707,39.2038889,46.5472222
Aghavnadzor,1252,40.5841667,44.6913889
Aghavnadzor,1925,39.7836111,45.2280556
Aghavnatun,2913,40.2336111,44.2513889
Akhuryan,7672,40.7813889,43.8963889
Aknalich,2654,40.1430556,44.1483333
Aknashen,1362,40.0958333,44.2861111
Alaverdi,13186,41.1305556,44.6519444
Amasia,1675,40.9466667,43.7813889
Amberd,1267,40.2416667,44.2727778
Anushavan,1532,40.6419444,43.9822222
Apaga,1634,40.0961111,44.2511111
Aparan,5670,40.5961111,44.3536111
Aragats,2952,40.3330556,43.6580556
Aragats,5092,40.2183333,44.2327778
Aragyukh,999,40.4025,44.5436111
Aramus,3214,40.2511111,44.6630556
Arapi,1738,40.7797222,43.8005556
Ararat,6554,39.8094444,44.7144444
Arazap,1373,40.0427778,44.1458333
Archis,1235,41.1641667,44.8725
Areni,1718,39.7208333,45.1838889
Arevabuyr,1041,40.0361111,44.4688889
Arevashat,1403,40.1416667,44.3708333
Arevashogh,2435,40.8613889,44.2727778
Arevik,2455,40.1005556,44.0969444
Arevik,1522,40.7361111,43.8927778
Arevshat,2089,40.0391667,44.5416667
Arevshat,1623,40.6486111,44.0444444
Argavand,1703,40.1580556,44.44
Argavand,2047,40.0608333,44.0952778
Argel,2528,40.3794444,44.5994444
Armash,2434,39.7666667,44.8083333
Armavir,2752,40.0897222,44.0483333
Arshaluys,3808,40.1688889,44.2141667
Artashat,20562,39.9538889,44.5505556
Arteni,3086,40.2983333,43.7541667
Artimet,1501,40.1513889,44.2663889
Artsvaberd,3193,40.8336111,45.4711111
Artsvanist,2819,40.1544444,45.5022222
Arzakan,2660,40.4494444,44.6063889
Arzni,2244,40.2963889,44.5958333
Ashnak,1131,40.3275,43.9166667
Ashtarak,18779,40.3016667,44.3591667
Astghadzor,3520,40.1238889,45.3566667
Avshar,4215,39.8405556,44.6836111
Aygavan,3758,39.8647222,44.6702778
Aygedzor,2535,39.4627778,46.4152778
Aygehovit,2888,40.9744444,45.2519444
Aygek,1095,40.1886111,44.3833333
Aygepat,1349,39.95,44.6
Aygeshat,1358,40.2355556,44.2866667
Aygeshat,1606,40.0666667,44.0666667
Aygestan,2431,40.0030556,44.5575
Aygezard,3192,39.9458333,44.6088889
Aygut,997,40.6841667,45.1730556
Ayrum,2174,41.195,44.8925
Ayrum,2174,41.1716667,44.8191667
Azatamut,1850,40.9758333,45.1980556
Azatan,4448,40.7238889,43.8205556
Azatavan,2886,39.9833333,44.5
Azatavan,2886,40.1333333,44.0666667
Baghramyan,1690,40.1908333,43.8494444
Bagratashen,3024,41.2458333,44.8211111
Balahovit,2982,40.2536111,44.6038889
Bambakashat,3089,40.1144444,44.0122222
Bardzrashen,1273,40.0852778,44.5786111
Bazum,1114,40.8680556,44.4455556
Berdavan,3150,41.2027778,45.0033333
Berd,8374,40.8808333,45.3916667
Brnakot,1912,39.4969444,45.9730556
Brun,1028,39.5338889,46.3030556
Buzhakan,1678,40.4552778,44.5205556
Byurakan,3902,40.3413889,44.2736111
Byuravan,1228,40.0161111,44.5186111
Byureghavan,6972,40.3147222,44.5936111
Chambarak,6153,40.5952778,45.3475
Chochkan,1740,41.1861111,44.8313889
Dalar,2504,39.9669444,44.5363889
Dalarik,3080,40.2183333,43.8602778
Darakert,2325,40.1058333,44.4138889
Darpas,1785,40.8380556,44.4233333
Dashtavan,1762,40.1016667,44.3905556
Ddmashen,2157,40.5719444,44.8122222
Dilijan,13480,40.7408333,44.8630556
Dimitrov,1212,40.0080556,44.4880556
Doghs,1186,40.2227778,44.2716667
Drakhtik,1016,40.5688889,45.2319444
Dsegh,2484,40.9633333,44.6516667
Dvin,2795,40.02,44.5852778
Dzitankov,1162,40.5155556,43.8133333
Dzoraghbyur,2011,40.205,44.6430556
Dzoragyukh,3570,40.1752778,45.175
Fantan,1019,40.3941667,44.685
Fioletovo,1264,40.7247222,44.7138889
Gagarin,1305,40.5369444,44.8577778
Gandzak,3841,40.3147222,45.1113889
Garni,6827,40.1194444,44.7230556
Gavar,21681,40.3588889,45.1266667
Gay,3309,40.0838889,44.3055556
Geghamasar,1060,40.3116667,45.68
Geghamavan,1597,40.5619444,44.8827778
Geghanist,2409,40.1497222,44.4344444
Getahovit,2005,40.8958333,45.1313889
Getashen,2114,40.0433333,43.9447222
Getazat,1947,40.0380556,44.5638889
Ghukasavan,2113,40.1261111,44.4177778
Gladzor,2080,39.7783333,45.3477778
Gogaran,1088,40.8955556,44.1991667
Goris,20379,39.5077778,46.3386111
Gosh,994,40.7225,45.0033333
Griboyedov,1879,40.1130556,44.2716667
Gyulagarak,2109,40.9697222,44.4713889
Gyumri,148383,40.7894444,43.8475
Haghartsin,3370,40.7780556,44.9625
Hayanist,2031,40.1197222,44.3775
Haykashen,1140,40.0727778,44.3069444
Haykavan,1201,40.7558333,43.77
Hnaberd,1817,40.6427778,44.1444444
Hoktember,5348,40.1361111,44.0138889
Horom,1893,40.6541667,43.8822222
Hovtashat,3472,40.1019444,44.3427778
Hovtashen,1134,40.0244444,44.45
Hrazdan,40796,40.5016667,44.7547222
Ijevan,14737,40.8755556,45.1491667
Janfida,2986,40.0455556,44.0208333
Jermuk,4582,39.8416667,45.6722222
Jrahovit,1032,40.0452778,44.4736111
Jrashen,3078,40.7875,44.1972222
Jrashen,1696,40.0547222,44.5133333
Kamaris,2064,40.2358333,44.6938889
Kamo,1340,40.8280556,43.9483333
Kanakeravan,2950,40.2472222,44.5366667
Kapan,33161,39.2011111,46.415
Kaputan,1252,40.3244444,44.6938889
Karbi,3521,40.3338889,44.3777778
Karchaghbyur,2274,40.1638889,45.5722222
Kasakh,4247,40.5333333,44.4166667
Khashtarak,1728,40.9386111,45.1797222
Khndzoresk,1940,39.5122222,46.4336111
Kosh,2581,40.3072222,44.16
Lanjaghbyur,2097,40.2730556,45.1444444
Lchashen,4182,40.5202778,44.9308333
Lenughi,1499,40.1238889,43.9652778
Lernakert,1306,40.5669444,43.9361111
Lernanist,2511,40.4675,44.7980556
Lernantsk,1192,40.7955556,44.2783333
Lernapat,1710,40.82,44.3972222
Lernavan,1517,40.7883333,44.1844444
Lorut,1101,40.9388889,44.7725
Lukashin,2197,40.1758333,44.0186111
Madina,1024,40.0802778,45.2511111
Maisyan,1521,40.8530556,43.8294444
Malishka,4174,39.7369444,45.3875
Maralik,4959,40.5722222,43.8669444
Margahovit,3308,40.7380556,44.6875
Margara,1360,40.0336111,44.1738889
Marmarashen,2946,40.0575,44.4711111
Marmashen,1644,40.8375,43.7719444
Martuni,11037,40.1447222,45.3063889
Masis,18911,40.0138889,44.4858333
Mayakovski,1727,40.2522222,44.6383333
Meghradzor,2659,40.6147222,44.6522222
Meghrashen,1107,40.6758333,43.9486111
Meghri,4540,38.9022222,46.2383333
Merdzavan,2702,40.1816667,44.3991667
Metsamor,8789,40.0713889,44.2891667
Metsavan,4767,41.2016667,44.2288889
Mets Masrik,2570,40.2186111,45.7694444
Mets Parni,1934,40.8372222,44.1091667
Mosesgegh,1964,40.9063889,45.4913889
Mrganush,1032,40.0286111,44.5586111
Mrgashat,4961,40.1297222,44.0705556
Mrgashen,1623,40.285,44.5422222
Mrgavan,1713,39.9661111,44.5333333
Mrgavet,2131,40.0283333,44.4827778
Musaler,2323,40.1544444,44.3777778
Musayelyan,1499,40.7652778,43.9908333
Myasnikyan,3458,40.1775,43.9063889
Nalbandyan,4019,40.0677778,43.9855556
Navur,1227,40.8613889,45.3175
Nizami,1060,40.0913889,44.4041667
Norakert,2485,40.1922222,44.3466667
Noramarg,1811,40.0236111,44.4244444
Nor Armavir,1597,40.0866667,43.99
Norashen,3049,40.0041667,44.5947222
Norashen,1386,41.1880556,44.3272222
Noratus,5426,40.3822222,45.1783333
Nor Geghi,4896,40.3211111,44.5797222
Nor Gyukh,1462,40.2666667,44.6563889
Nor Yerznka,1459,40.3133333,44.4047222
Noyakert,1751,39.8166667,44.6669444
Noyemberyan,5119,41.1725,44.9936111
Nshavan,1916,40.0263889,44.5252778
Odzun,4524,41.0538889,44.6113889
Oshakan,4768,40.2705556,44.2691667
Paravakar,1637,40.9805556,45.3991667
Pemzashen,2436,40.5933333,43.94
Pokr Mantash,1838,40.65,44.05
Proshyan,4333,40.2480556,44.415
Pshatavan,2159,40.0405556,44.0675
Ptghni,1231,40.2566667,44.585
Ranchpar,989,40.0252778,44.3702778
Rind,1368,39.7597222,45.18
Samaghar,2343,40.1852778,44.2422222
Saramech,1111,40.7725,44.2191667
Saratak,1115,40.67,43.8663889
Sarigyukh,1096,41.0563889,45.1458333
Sarukhan,6173,40.2891667,45.1341667
Sasunik,1959,40.2472222,44.3380556
Sevan,17083,40.555,44.9536111
Shaghat,1011,39.5616667,45.9122222
Shahumyan,3905,39.9308333,44.5783333
Shahumyan,1843,40.7883333,44.5316667
Shatin,1671,39.8333333,45.3016667
Shenavan,1587,40.4861111,44.3825
Shenavan,1757,40.05,43.9333333
Shinuhayr,2206,39.4341667,46.3155556
Shirakamut,2008,40.8605556,44.1527778
Shirak,1007,40.8480556,43.9213889
Shnogh,2872,41.1477778,44.8377778
Sisavan,1793,39.9,44.6666667
Sisian,15208,39.4627778,45.9730556
Sis,1135,40.0586111,44.3863889
Solak,2295,40.4636111,44.7086111
Sovetakan,1613,40.1133333,44.0552778
Spandaryan,1226,40.665,44.0188889
Spitak,15063,40.7955556,44.2783333
Surenavan,2241,39.75,44.8
Talin,4945,40.3369444,43.8588889
Tandzut,1816,40.0772222,44.0886111
Taronik,1874,40.1330556,44.1991667
Tashir,7318,41.1244444,44.2819444
Tazagyukh,2248,40.1416667,45.1913889
Tegh,2120,39.5547222,46.4758333
Tsaghkaber,1207,40.7986111,44.1072222
Tsaghkadzor,1408,40.5386111,44.7113889
Tsaghkahovit,1551,40.6361111,44.2230556
Tsiatsan,1050,40.1869444,44.2666667
Tsovagyugh,3857,40.6330556,44.9522222
Tsovak,2531,40.1819444,45.635
Tsovazard,1949,40.4769444,45.0375
Tsovinar,3968,40.1608333,45.4538889
Tumanyan,1693,40.9633333,44.6516667
Urut,1102,41.0711111,44.3969444
Ushi,1276,40.3536111,44.3686111
Vagharshapat,49514,40.1727778,44.2925
Vaghashen,3235,40.1377778,45.3291667
Vahagni,1184,40.9080556,44.6069444
Vahan,1153,40.57,45.3955556
Vanadzor,101099,40.8127778,44.4883333
Vardablur,1297,40.95,44.4666667
Vardadzor,2095,40.1916667,45.1875
Vardenik,7709,40.135,45.4363889
Vardenis,11382,40.1805556,45.7283333
Varser,1614,40.5561111,44.9111111
Vedi,12192,39.9105556,44.7277778
Verin Artashat,3931,40.0005556,44.585
Verin Dvin,1853,40.0252778,44.5908333
Verin Getashen,4173,40.1327778,45.2486111
Verishen,2114,39.5358333,46.3119444
Vernashen,1162,39.7938889,45.3633333
Voskehask,1803,40.7383333,43.7758333
Voskehat,2181,40.1413889,44.3291667
Voskevan,1287,41.1191667,45.0652778
Voskevaz,3789,40.2797222,44.295
Vostan,2925,39.9588889,44.5591667
Yeghegnavan,1221,39.8277778,44.6372222
Yeghegnut,1746,40.0902778,44.1625
Yeghegnut,1154,40.9041667,44.6325
Yeghvard,10705,40.3216667,44.4813889
Yeraskhahun,1346,40.0722222,44.2158333
Yerazgavors,1285,40.7,43.75
Yerevan,1093499,40.1811111,44.5136111
Zangakatun,1130,39.8094444,45.0511111
Zaritap,1323,39.6372222,45.5086111
Zar,1340,40.2611111,44.7361111
Zhdanov,1512,40.1616667,44.0883333
Zorak,1390,40.0925,44.3919444
Zoravan,1167,40.3569444,44.5230556
Zovaber,1470,40.5736111,44.7863889
Zovuni,4484,40.5108333,44.4288889
Barber,2424,12.2833333,-69.0666667
Golden Rock,823,17.4833333,-62.9833333
Hato,13,12.1833333,-68.2833333
Kralendijk,3081,12.15,-68.2666667
Lagun,289,12.3166667,-69.1666667
Nieuwpoort,1937,12.05,-68.8166667
Oranjestad,1097,17.4666667,-62.9833333
Rincon,1496,12.2333333,-68.3333333
Sint Michiel,5138,12.1333333,-68.9833333
Soto,1987,12.2666667,-69.1
The Bottom,488,17.6333333,-63.25
Westpunt,783,12.3666667,-69.1666667
Willemstad,97590,12.1,-68.9166667
Windward Side,442,17.6333333,-63.2333333
Benguela,151235,-12.578333,13.407222
Caala,21205,-12.8525,15.560556
Cabinda,66020,-5.55,12.2
Caconda,10551,-13.733333,15.066667
Caluquembe,30305,-13.783333,14.683333
Camabatela,12839,-8.18812,15.37495
Camacupa,19150,-12.016667,17.483333
Catabola,18858,-12.15,17.283333
Catumbela,16980,-12.431389,13.547222
Caxito,28229,-8.58,13.664167
Cazaje,4764,-11.067147,20.701483
Chissamba,7677,-12.166667,17.333333
Huambo,226177,-12.776111,15.739167
Kibala,8915,-10.73366,14.979949
Kuito,113624,-12.383333,16.933333
Leua,5168,-11.65,20.45
Lobito,207957,-12.319722,13.599722
Longonjo,24350,-12.906667,15.253333
Luanda,2776125,-8.836804,13.233174
Luau,18465,-10.707273,22.22466
Lubango,102541,-14.916667,13.5
Lucapa,20115,-8.419151,20.744655
Luena,21115,-11.783333,19.916667
Lumeje,4972,-11.55,20.783333
Malanje,87047,-9.544722,16.345278
Menongue,19141,-14.661639,17.688224
Namibe,80150,-15.196111,12.152222
Ondjiva,10169,-17.066667,15.733333
Saurimo,40498,-9.66078,20.391553
Soyo,67553,-6.134903,12.368935
Sumbe,33278,-11.206048,13.843713
Uige,60008,-7.613282,15.056621
Alta Gracia,40385,-31.652925,-64.428259
Azul,52333,-36.776976,-59.858539
Bahia Blanca,282950,-38.719595,-62.272432
Bell Ville,35106,-32.625906,-62.68873
Campana,83175,-34.168742,-58.95914
Catamarca,213601,-28.469574,-65.785239
Chacabuco,34587,-34.641667,-60.473889
Chivilcoy,52307,-34.895661,-60.016667
Comodoro Rivadavia,142597,-45.864135,-67.496558
Concepcion del Uruguay,72904,-32.482493,-58.237217
Concordia,155686,-31.392959,-58.02089
Cordoba,1441007,-31.413496,-64.181052
Corrientes,390481,-27.480596,-58.834099
Dolores,25190,-36.313215,-57.679185
Eldorado,62823,-26.404841,-54.624784
Formosa,248756,-26.177534,-58.178139
General Pico,55900,-35.656622,-63.756815
General Roca,76066,-39.02797,-67.573711
Goya,70340,-29.14003,-59.262564
Gualeguaychu,88218,-33.009375,-58.51722
Gualeguay,33120,-33.141559,-59.309657
Jujuy,277150,-24.194565,-65.297116
Junin,76369,-34.583816,-60.943318
La Plata,684318,-34.921454,-57.954533
La Rioja,178497,-29.411048,-66.850668
Libertador General San Martin,49273,-23.806443,-64.787574
Lincoln,24798,-34.866494,-61.530197
Lujan,74823,-34.570278,-59.105
Lujan,77625,-33.035471,-68.877823
Mar del Plata,645771,-38.002278,-57.557539
Mendoza,973047,-32.890845,-68.827171
Mercedes,49067,-34.651455,-59.430676
Mercedes,30649,-29.181858,-58.078951
Mercedes,126559,-33.674359,-65.461405
Necochea,84969,-38.547259,-58.736753
Neuquen,359037,-38.951606,-68.059102
Nueve de Julio,34717,-35.444374,-60.883131
Obera,58939,-27.487059,-55.11994
Olavarria,80005,-36.892715,-60.32254
Parana,299257,-31.731967,-60.523802
Pergamino,86708,-33.889949,-60.573568
Posadas,313438,-27.367077,-55.896078
Presidencia Roque Saenz Pena,89584,-26.785221,-60.438761
Puerto Madryn,95547,-42.769201,-65.038513
Punta Alta,53117,-38.875875,-62.073589
Rafaela,84025,-31.250332,-61.486696
Rawson,26341,-43.300158,-65.10228
Reconquista,95979,-29.15,-59.65
Resistencia,406967,-27.46056,-58.983886
Rio Cuarto,174058,-33.130671,-64.349918
Rio Gallegos,93234,-51.622613,-69.218127
Rio Tercero,53396,-32.173008,-64.114055
Rivadavia,65641,-33.190509,-68.46081
Rosario,1218497,-32.946818,-60.639317
Salta,548288,-24.785896,-65.411664
San Carlos de Bariloche,110044,-41.140293,-71.301369
San Francisco,71444,-31.427971,-62.082656
San Juan,469958,-31.5375,-68.536389
San Lorenzo,47627,-28.133061,-58.767331
San Luis,184869,-33.295012,-66.335627
San Martin,107554,-33.081031,-68.468138
San Nicolas,130705,-33.335784,-60.225233
San Pedro,67514,-33.679127,-59.666635
San Pedro,43124,-24.231266,-64.866141
San Rafael,125033,-34.617717,-68.330066
San Ramon de la Nueva Oran,84504,-23.13398,-64.324645
Santa Fe,456044,-31.629484,-60.701036
Santa Rosa,89478,-36.616667,-64.283333
Santiago del Estero,407636,-27.795112,-64.261489
San Vicente,84333,-34.982645,-58.376169
Tandil,100127,-37.321674,-59.133164
Tartagal,63600,-22.516365,-63.801314
Trelew,107883,-43.250075,-65.313295
Tres Arroyos,47143,-38.373939,-60.279781
Tucuman,828402,-26.824144,-65.2226
Ushuaia,58045,-54.8,-68.3
Veinticinco de Mayo,24668,-35.432303,-60.172707
Venado Tuerto,71794,-33.745564,-61.968845
Victoria,25139,-32.619888,-60.153907
Viedma,76553,-40.813452,-62.996676
Villa Carlos Paz,61095,-31.424138,-64.497778
Villa Constitucion,44278,-33.227778,-60.329699
Villa Maria,92337,-32.407514,-63.240161
Zarate,88222,-34.098142,-59.028585
Absam,6594,47.3,11.5
Abtenau,5829,47.55,13.35
Altach,6040,47.35,9.65
Althofen,4833,47.15,14.233333
Altmunster,9652,47.9,13.75
Amstetten,22832,48.116667,14.866667
Anif,4154,47.75,13.066667
Ansfelden,14936,48.2,14.283333
Arnoldstein,6923,46.546111,13.71
Asten,6517,48.216667,14.4
Axams,5560,47.233333,11.3
Bad Aussee,5210,47.6,13.783333
Baden,24893,48.016667,16.233333
Bad Goisern,7869,47.633333,13.616667
Bad Hall,4935,48.033333,14.2
Bad Hofgastein,7002,47.166667,13.1
Bad Ischl,14267,47.716667,13.616667
Bad Sankt Leonhard,4775,46.962778,14.791667
Bad Voslau,11013,47.966667,16.2
Barnbach,4850,46.983333,16.05
Bergheim,5031,47.833333,13.033333
Berndorf,8796,47.95,16.1
Bischofshofen,10145,47.416667,13.216667
Bludenz,13904,47.149722,9.816667
Braunau,16403,48.266667,13.033333
Bregenz,26928,47.5,9.766667
Bruck an der Leitha,7339,48.016667,16.766667
Bruck an der Mur,13254,47.416667,15.283333
Deutschlandsberg,8049,46.815278,15.222222
Deutsch-Wagram,7153,48.299722,16.566667
Dornbirn,43013,47.416667,9.733056
Ebbs,5088,47.633333,12.216667
Ebensee,8376,47.8,13.766667
Ebenthal,7809,46.608056,14.364167
Eberndorf,6089,46.591389,14.643611
Ebreichsdorf,9509,47.95,16.4
Eisenerz,5987,47.533333,14.883333
Eisenstadt,11767,47.85,16.516667
Engerwitzdorf,8510,48.35,14.45
Enns,10816,48.2,14.466667
Feldbach,4877,46.953056,15.888333
Feldkirchen an der Donau,5286,48.35,14.05
Feldkirchen,14440,46.716667,14.1
Feldkirch,29446,47.233056,9.6
Ferlach,7661,46.526944,14.301944
Finkenstein,8406,46.565556,13.865278
Fohnsdorf,8203,47.2,14.683333
Frankenburg,5162,48.066667,13.483333
Freistadt,7574,48.5,14.5
Friesach,5369,46.955278,14.405833
Frohnleiten,6629,47.266667,15.316667
Fugen,3734,47.35,11.85
Furstenfeld,5962,47.05,16.083333
Gallneukirchen,6282,48.35,14.416667
Ganserndorf,8588,48.35,16.733333
Garsten,6657,48.016667,14.4
Gleisdorf,5245,47.1,15.716667
Gloggnitz,6213,47.666667,15.933333
Gmunden,13287,47.916667,13.8
Gmund,5811,48.766667,14.983333
Gotzis,10342,47.333056,9.633056
Gratkorn,6806,47.133333,15.35
Graz,222326,47.066667,15.45
Grieskirchen,4766,48.233333,13.833333
Grodig,6918,47.733333,13.033333
Guntramsdorf,9071,48.033333,16.3
Haag,5164,48.15,15.5
Hainburg,5622,48.15,16.933333
Hallein,18980,47.683333,13.1
Hall,11197,47.6,14.45
Hard,11766,47.483056,9.683056
Heidenreichstein,4472,48.866667,15.116667
Hermagor,7242,46.627222,13.367222
Herzogenburg,7866,48.266667,15.683333
Himberg,5534,48.083333,16.433333
Hochst,7207,47.466667,9.633056
Hohenems,14072,47.366667,9.683056
Hollabrunn,10966,48.55,16.083333
Hopfgarten,5314,47.45,12.166667
Horbranz,6414,47.55,9.75
Horn,6485,48.65,15.65
Horsching,5312,48.233333,14.183333
Imst,9225,47.233333,10.733333
Innsbruck,112467,47.266667,11.4
Jenbach,6806,47.4,11.783333
Jennersdorf,4319,46.939167,16.146667
Judenburg,9992,47.166667,14.666667
Kapfenberg,21819,47.433333,15.3
Kindberg,5790,47.5,15.45
Kirchbichl,5115,47.516667,12.083333
Kitzbuhel,8818,47.45,12.383333
Klagenfurt,90610,46.624722,14.305278
Klosterneuburg,24843,48.3,16.316667
Knittelfeld,12704,47.216667,14.816667
Koflach,10447,47.066667,15.083333
Korneuburg,11498,48.35,16.333333
Kottingbrunn,7184,47.95,16.216667
Krems,24092,48.416667,15.6
Kremsmunster,6626,48.05,14.133333
Krieglach,5236,47.533333,15.55
Kuchl,6668,47.616667,13.15
Kufstein,16116,47.583333,12.166667
Laakirchen,9569,47.966667,13.816667
Laa,6084,48.716667,16.383333
Landeck,7351,47.133333,10.566667
Langenlois,7081,48.466667,15.666667
Langenzersdorf,7733,48.3,16.35
Lauterach,9212,47.483056,9.733056
Leibnitz,7029,46.781667,15.541667
Lenzing,5044,47.966667,13.616667
Leoben,24809,47.383333,15.1
Leonding,22736,48.266667,14.25
Lienz,12270,46.831111,12.759722
Liezen,6903,47.566667,14.233333
Linz,181163,48.3,14.3
Lochau,5209,47.533333,9.75
Lustenau,20218,47.433056,9.65
Marchtrenk,11666,48.183333,14.116667
Maria Enzersdorf,8085,48.1,16.283333
Matrei,5076,47,12.533333
Mattersburg,6448,47.733333,16.4
Melk,5272,48.216667,15.316667
Micheldorf,5902,47.85,14.133333
Mistelbach,10820,48.57,16.576667
Mittelberg,4627,47.2,9.65
Mittersill,5680,47.266667,12.483333
Modling,20710,48.083333,16.283333
Moosburg,4602,46.6575,14.174722
Murzzuschlag,9410,47.6,15.683333
Nenzing,5856,47.183056,9.7
