regionName,a,asig,logc,p,covaa,covpp,covcc,covap,covac,covcp,Nms,alpha,b,mref,mmax
ANSR-ABSLDEC,-2.2,0.307,-2.231,1.04,0.000591,0.000684,0.0338,0.000142,0.00213,0.00308,40,1,1,4.5,9
ANSR-ABSLOCB,-2.52,0.341,-1.006,1.072,0.00175,0.00148,0.0215,0.00136,0.00547,0.00461,78,1,1,4.5,9
ANSR-ABSLSHC,-2.652,0.467,-3.3,0.953,0.00117,0.001,0.497,0.000238,0.00583,0.00629,18,1,1,4.5,9
ANSR-DEEPCON,-2.23,0.319,-2.059,1.078,0.000277,0.000351,0.0211,0.000144,0.00161,0.00202,86,1,1,4.5,9
ANSR-HOTSPOT,-3.143,0.572,-4.036,1.108,0.0524,0.0283,3.05,-0.0226,-0.0272,0.0882,8,1,1,4.5,9
ANSR-OCEANBD,-2.959,0.417,-2.569,1.006,0.000305,0.000348,0.038,0.000108,0.00182,0.00243,452,1,1,4.5,9
ANSR-SHALCON,-2.463,0.302,-2.762,0.96,0.000695,0.000628,0.129,0.000193,0.00403,0.00505,41,1,1,4.5,9
SCR-GENERIC,-2.364,0.71,-1.27,1.042,0.00619,0.00565,0.135,0.00465,0.0242,0.0219,10,1,1,4.5,9
SOR-GENERIC,-3.302,0.337,-3.868,1.136,0.00894,0.00682,1.04,-0.00202,0.00466,0.0227,13,1,1,4.5,9
SZ-GENERIC,-2.268,0.292,-2.47,0.981,0.0000129,0.0000148,0.00129,0.0000046,0.0000614,0.0000772,934,1,1,4.5,9.5
SZ-INLBACK,-2.47,0.387,-3.434,0.975,0.000585,0.000481,0.076,0.0000207,0.00143,0.00285,29,1,1,4.5,9.5
SZ-ONSHORE,-2.282,0.371,-2.73,0.931,0.00004,0.0000425,0.00685,0.0000181,0.000229,0.00025,225,1,1,4.5,9.5
SZ-OUTERTR,-2.298,0.386,-2.624,1.017,0.0000591,0.0000676,0.00626,0.0000133,0.000259,0.000364,165,1,1,4.5,9.5
GLOBAL-AVERAGE,-2.43,0.395,-2.565,0.966,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,4.5,9.5
CALIFORNIA,-2.35,0.302,-1.7696,1.01,0.00000713,0.00000767,0.000899,0.00000263,0.0000375,0.000045,2099,1,1,2.5,9
SOR-ABVSLAB,-3.302,0.337,-3.868,1.136,0.00894,0.00682,1.04,-0.00202,0.00466,0.0227,13,1,1,4.5,9
SCR-ABVSLAB,-2.364,0.71,-1.27,1.042,0.00619,0.00565,0.135,0.00465,0.0242,0.0219,10,1,1,4.5,9
